index	source	target	weight
181	p4	h44	0.59580881
182	p4	h45	0.46398044
187	p5	h4	0.33445913
188	p5	h5	0.40280404
189	p5	h6	0.40280404
190	p5	h7	0.52744662
196	p5	h13	0.60282657
197	p5	h14	0.40280404
198	p5	h15	0.54979129
199	p5	h16	0.59555165
200	p5	h17	0.34790307
201	p5	h18	0.52822468
202	p5	h19	0.56936496
203	p5	h20	0.52744662
205	p5	h22	0.59555165
206	p5	h23	0.56936496
207	p5	h24	0.56936496
208	p5	h25	0.52744662
209	p5	h26	0.52744662
212	p5	h29	0.40280404
213	p5	h30	0.34790307
214	p5	h31	0.40280404
215	p5	h32	0.61699331
216	p5	h33	0.40280404
217	p5	h34	0.52744662
218	p5	h35	0.60282657
219	p5	h36	0.36273822
220	p5	h37	0.37379226
221	p5	h38	0.37379226
222	p5	h39	0.53296946
223	p5	h40	0.61699331
224	p5	h41	0.40280404
225	p5	h42	0.34353065
226	p5	h43	0.52822468
227	p5	h44	0.54979129
228	p5	h45	0.40280404
233	p6	h4	0.33445913
234	p6	h5	0.40280404
235	p6	h6	0.40280404
236	p6	h7	0.52744662
242	p6	h13	0.60282657
243	p6	h14	0.40280404
244	p6	h15	0.54979129
245	p6	h16	0.59555165
246	p6	h17	0.34790307
247	p6	h18	0.52822468
248	p6	h19	0.56936496
249	p6	h20	0.52744662
251	p6	h22	0.59555165
252	p6	h23	0.56936496
253	p6	h24	0.56936496
254	p6	h25	0.52744662
255	p6	h26	0.52744662
258	p6	h29	0.40280404
259	p6	h30	0.34790307
260	p6	h31	0.40280404
261	p6	h32	0.61699331
262	p6	h33	0.40280404
263	p6	h34	0.52744662
264	p6	h35	0.60282657
265	p6	h36	0.36273822
266	p6	h37	0.37379226
267	p6	h38	0.37379226
268	p6	h39	0.53296946
269	p6	h40	0.61699331
270	p6	h41	0.40280404
271	p6	h42	0.34353065
272	p6	h43	0.52822468
273	p6	h44	0.54979129
274	p6	h45	0.40280404
279	p7	h4	0.56782268
280	p7	h5	0.54814333
281	p7	h6	0.54814333
282	p7	h7	0.54861911
288	p7	h13	0.616362
289	p7	h14	0.54814333
290	p7	h15	0.58783474
291	p7	h16	0.57471631
292	p7	h17	0.57939115
293	p7	h18	0.54390252
294	p7	h19	0.55606738
295	p7	h20	0.54861911
297	p7	h22	0.57471631
298	p7	h23	0.55606738
299	p7	h24	0.55606738
300	p7	h25	0.54861911
301	p7	h26	0.54861911
304	p7	h29	0.54814333
305	p7	h30	0.57939115
306	p7	h31	0.54814333
307	p7	h32	0.55122142
308	p7	h33	0.54814333
309	p7	h34	0.54861911
310	p7	h35	0.616362
311	p7	h36	0.54398598
312	p7	h37	0.58754996
313	p7	h38	0.58754996
314	p7	h39	0.59063388
315	p7	h40	0.55122142
316	p7	h41	0.54814333
317	p7	h42	0.59070347
318	p7	h43	0.54390252
319	p7	h44	0.58783474
320	p7	h45	0.54814333
325	p8	h4	0.64424876
326	p8	h5	0.53853136
327	p8	h6	0.53853136
328	p8	h7	0.58441928
334	p8	h13	0.44253173
335	p8	h14	0.53853136
336	p8	h15	0.41272165
338	p8	h17	0.62484431
339	p8	h18	0.57471631
340	p8	h19	0.5654205
341	p8	h20	0.58441928
344	p8	h23	0.5654205
345	p8	h24	0.5654205
346	p8	h25	0.58441928
347	p8	h26	0.58441928
350	p8	h29	0.53853136
351	p8	h30	0.62484431
352	p8	h31	0.53853136
353	p8	h32	0.64956684
354	p8	h33	0.53853136
355	p8	h34	0.58441928
356	p8	h35	0.44253173
357	p8	h36	0.56558073
358	p8	h37	0.64596117
359	p8	h38	0.64596117
360	p8	h39	0.59670203
361	p8	h40	0.64956684
362	p8	h41	0.53853136
363	p8	h42	0.64261399
364	p8	h43	0.57471631
365	p8	h44	0.41272165
366	p8	h45	0.53853136
371	p9	h4	0.42209367
372	p9	h5	0.44745674
373	p9	h6	0.44745674
374	p9	h7	0.54807842
380	p9	h13	0.52435182
381	p9	h14	0.44745674
382	p9	h15	0.49138236
383	p9	h16	0.53853136
384	p9	h17	0.42508779
385	p9	h18	0.54814333
386	p9	h19	0.51843755
387	p9	h20	0.54807842
389	p9	h22	0.53853136
390	p9	h23	0.51843755
391	p9	h24	0.51843755
392	p9	h25	0.54807842
393	p9	h26	0.54807842
396	p9	h29	0.44745674
397	p9	h30	0.42508779
398	p9	h31	0.44745674
399	p9	h32	0.55006293
400	p9	h33	0.44745674
401	p9	h34	0.54807842
402	p9	h35	0.52435182
403	p9	h36	0.4180258
404	p9	h37	0.46398044
405	p9	h38	0.46398044
406	p9	h39	0.49505784
407	p9	h40	0.55006293
408	p9	h41	0.44745674
409	p9	h42	0.44439053
410	p9	h43	0.54814333
411	p9	h44	0.49138236
412	p9	h45	0.44745674
414	p1	p2	0.44253173
415	p2	p3	0.51100262
416	p3	p4	0.54199409
417	p4	p5	0.37379226
418	p5	p6	0.31082132
419	p6	p7	0.52822468
420	p7	p8	0.57471631
421	p8	p9	0.53853136
422	h1	h2	0.0
423	h2	h3	0.0
424	h3	h4	0.0
425	h4	h5	0.42209367
426	h5	h6	0.44745674
427	h6	h7	0.54807842
428	h7	h8	0.0
429	h8	h9	0.0
430	h9	h10	0.0
431	h10	h11	0.0
432	h11	h12	0.0
433	h12	h13	0.0
434	h13	h14	0.52435182
435	h14	h15	0.49138236
436	h15	h16	0.41272165
437	h16	h17	0.62484431
438	h17	h18	0.57939115
439	h18	h19	0.55606738
440	h19	h20	0.55690477
441	h20	h21	0.0
442	h21	h22	0.0
443	h22	h23	0.5654205
444	h23	h24	0.50375305
445	h24	h25	0.55690477
446	h25	h26	0.54730244
447	h26	h27	0.0
448	h27	h28	0.0
449	h28	h29	0.0
450	h29	h30	0.42508779
451	h30	h31	0.42508779
452	h31	h32	0.55006293
453	h32	h33	0.55006293
454	h33	h34	0.54807842
455	h34	h35	0.61156025
456	h35	h36	0.54440127
457	h36	h37	0.43786861
458	h37	h38	0.36327849
459	h38	h39	0.59142746
460	h39	h40	0.58010858
461	h40	h41	0.55006293
462	h41	h42	0.44439053
463	h42	h43	0.59070347
464	h43	h44	0.58783474
465	h44	h45	0.49138236
466	h45	h46	0.0
